Unnamed: 0,ProductName,Price,Quantity,CustomerNo,Country,Date_day,Date_month,Date_year
494256,87,49.47,1,13958.0,21,19,0,0
494257,2001,36.38,5,14955.0,21,19,0,0
494258,2001,36.38,2,13958.0,21,19,0,0
494259,424,36.38,1,13958.0,21,19,0,0
494260,2483,36.38,1,13958.0,21,19,0,0
494261,2060,31.14,1,13958.0,21,19,0,0
494262,92,13.79,39,15562.0,21,19,0,0
494263,1922,12.4,48,15587.0,21,19,0,0
494264,2293,13.72,24,15587.0,21,19,0,0
494265,287,13.72,48,15587.0,21,19,0,0
494266,654,13.27,6,13922.0,21,19,0,0
494267,2122,11.53,24,13922.0,21,19,0,0
494268,1130,11.12,24,13922.0,21,19,0,0
494269,1373,10.68,30,13922.0,21,19,0,0
494270,2058,17.17,2,13922.0,21,19,0,0
494271,713,11.53,4,14085.0,21,19,0,0
494272,136,13.27,4,14085.0,21,19,0,0
494273,1379,11.12,7,14085.0,21,19,0,0
494274,1624,11.53,4,14085.0,21,19,0,0
494275,1625,12.86,4,14085.0,21,19,0,0
494276,2477,11.53,10,14085.0,21,19,0,0
494277,2237,13.27,6,14085.0,21,19,0,0
494278,50,12.86,3,14085.0,21,19,0,0
494279,2072,18.4,2,14085.0,21,19,0,0
494280,2526,11.53,6,14085.0,21,19,0,0
494281,2330,11.94,6,14085.0,21,19,0,0
494282,1202,11.53,6,14085.0,21,19,0,0
494283,2021,15.32,6,14085.0,21,19,0,0
494284,143,11.53,12,14085.0,21,19,0,0
494285,1300,15.32,2,14085.0,21,19,0,0
494286,596,11.12,6,14085.0,21,19,0,0
494287,2434,12.25,4,14085.0,21,19,0,0
494288,2513,11.53,12,14085.0,21,19,0,0
494289,145,14.09,4,14085.0,21,19,0,0
494290,2242,13.27,1,14085.0,21,19,0,0
494291,2106,15.32,4,14085.0,21,19,0,0
494292,1711,17.17,2,14085.0,21,19,0,0
494293,1198,16.35,2,14085.0,21,19,0,0
494294,2023,15.32,4,14085.0,21,19,0,0
494295,2549,11.53,6,14085.0,21,19,0,0
494296,553,11.53,12,14085.0,21,19,0,0
494297,2517,16.35,2,14085.0,21,19,0,0
494298,654,13.27,4,14085.0,21,19,0,0
494299,850,18.96,2,14085.0,21,19,0,0
494300,1942,13.27,2,14085.0,21,19,0,0
494301,2093,13.27,2,14085.0,21,19,0,0
494302,1871,12.4,1,12748.0,21,19,0,0
494303,986,14.61,1,12748.0,21,19,0,0
494304,1718,16.35,1,12748.0,21,19,0,0
494305,97,14.61,1,12748.0,21,19,0,0
494306,1293,14.09,1,12748.0,21,19,0,0
494307,627,11.53,10,15235.0,21,19,0,0
494308,627,11.12,10,15235.0,21,19,0,0
494309,74,11.94,12,15235.0,21,19,0,0
494310,1432,11.53,8,15235.0,21,19,0,0
494311,1432,11.53,8,15235.0,21,19,0,0
494312,2183,14.3,4,15235.0,21,19,0,0
494313,716,11.94,10,15235.0,21,19,0,0
494314,352,11.94,10,15235.0,21,19,0,0
494315,1816,11.53,12,15235.0,21,19,0,0
494316,368,11.53,12,15235.0,21,19,0,0
494317,1114,14.09,4,15235.0,21,19,0,0
494318,2613,14.09,4,15235.0,21,19,0,0
494319,1247,10.55,24,15235.0,21,19,0,0
494320,1068,11.74,9,15235.0,21,19,0,0
494321,1232,13.27,6,15235.0,21,19,0,0
494322,1231,13.27,6,15235.0,21,19,0,0
494323,1241,11.12,12,15235.0,21,19,0,0
494324,1243,14.61,6,15235.0,21,19,0,0
